84,0.5070507
39,0.49676237
96,0.4936465
81,0.5091345
15,0.5026374
21,0.50075066
66,0.5020048
54,0.502606
48,0.49390295
30,0.50254434
27,0.501458
24,0.49843472
36,0.49906844
51,0.4983653
93,0.49665543
33,0.5034712
42,0.5015301
102,0.49594265
57,0.49636784
45,0.49786186
75,0.49371704
63,0.4994943
72,0.49681038
6,0.5008836
69,0.5001068
3,0.49819803
12,0.5034897
9,0.49279428
18,0.5007836
60,0.49675563
90,0.50098795
108,0.49961346
78,0.5014974
87,0.49948263
99,0.5012525
94,0.5053994
13,0.49744508
19,0.49941954
34,0.50336605
52,0.49991482
61,0.49602956
100,0.5002359
4,0.49931905
76,0.5025329
16,0.50045514
55,0.4994167
82,0.50396
97,0.49886262
22,0.5025665
25,0.50617445
28,0.4985034
79,0.5009836
46,0.49803385
73,0.50326884
64,0.49919072
37,0.49907556
106,0.5039842
40,0.49749088
67,0.49845028
70,0.5005551
7,0.5014929
85,0.49951458
58,0.50755465
49,0.49849176
88,0.4998923
91,0.5009683
103,0.50224024
31,0.4985715
109,0.49844316
10,0.50136054
43,0.506786
41,0.49826574
56,0.49961558
101,0.49643838
47,0.5031013
71,0.49841228
77,0.49523526
53,0.5038152
80,0.49634448
29,0.49917898
107,0.5047574
59,0.5022268
98,0.4978162
65,0.504797
95,0.502427
11,0.50175214
14,0.4979899
32,0.5021907
35,0.5007471
50,0.49667123
62,0.4973719
92,0.5041611
104,0.49409077
23,0.5014705
74,0.49732074
83,0.49861035
89,0.49777144
17,0.5016871
8,0.49522954
20,0.49993548
38,0.50079167
86,0.4958716
44,0.50302875
26,0.5029784
68,0.49196753
5,0.49558797
2,0.5045907
